7zip 26.02-1
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.24.1-1
libva-nvidia-driver 0.0.17-1
libvdpau 1.5-4
libverto 0.3.2-6
libvisio 0.1.11-1
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.1-1
libwbclient 2:4.24.6-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libwmf 0.2.15-1
libwpd 0.10.3-6
libwps 0.4.14-4
libwslay 1.1.1-7
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxnvctrl 610.57.04-1
libxpm 3.5.19-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2921+644251f25-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.28.0-1
limine 12.5.2-1
limine-entry-tool 1.37.1-1
linux 7.1.8.arch1-3
linux-api-headers 7.2-1
linux-firmware 20260810-2
linux-firmware-amdgpu 20260810-2
linux-firmware-atheros 20260810-2
linux-firmware-broadcom 20260810-2
linux-firmware-cirrus 20260810-2
linux-firmware-intel 20260810-2
linux-firmware-mediatek 20260810-2
linux-firmware-nvidia 20260810-2
linux-firmware-other 20260810-2
linux-firmware-radeon 20260810-2
linux-firmware-realtek 20260810-2
linux-firmware-whence 20260810-2
linux-headers 7.1.8.arch1-3
linux-zen 7.1.8.zen1-3
linux-zen-headers 7.1.8.zen1-3
llvm-libs 22.1.8-2
lmdb 0.9.35-1
lm_sensors 1:3.6.2-1
lpsolve 5.5.2.14-1
lsb-release 2.0.r55.a25a4fc-1
l-smash 2.14.5-4
lsof 4.99.7-1
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
lua 5.5.1-1
luajit 2.1.1785763465+1edc3e5-1
lutris 0.5.22-2
lv2 1.18.10-2
lvm2 2.03.42-1
ly 1.4.1-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
make 4.4.1-3
man-db 2.13.1-2
man-pages 6.18-1
mbedtls3 3.6.7-1
mbedtls 4.2.0-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.1.7-1
mesa-utils 9.0.0-7
meson 1.12.0-1
miniupnpc 2.3.3-3
minizip 1:1.3.2-3
mkinitcpio 41.1-1
mkinitcpio-busybox 1.36.1-1
mlt 7.40.0-3
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-4
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mujs 1.3.9-1
muparser 2.3.5-2
mypaint-brushes1 1.3.1-2
mypaint-brushes 2.0.2-2
nano 9.2-1
ncurses 6.6-2
